,tamanho,algoritmo,tempo
0,500,Força Bruta,67583.0
1,500,BMH,72689.0
2,500,BMHS,95363.0
3,500,Shift-And Exato,300571.0
4,500,Shift-And Aproximado,1187367.0
5,1000,Força Bruta,126080.0
6,1000,BMH,138164.0
7,1000,BMHS,184740.0
8,1000,Shift-And Exato,633549.0
9,1000,Shift-And Aproximado,2312725.0
10,1500,Força Bruta,186460.0
11,1500,BMH,203712.0
12,1500,BMHS,218715.0
13,1500,Shift-And Exato,1092704.0
14,1500,Shift-And Aproximado,4359994.0
15,2000,Força Bruta,311687.0
16,2000,BMH,603851.0
17,2000,BMHS,571717.0
18,2000,Shift-And Exato,1424279.0
19,2000,Shift-And Aproximado,4644812.0
20,5000,Força Bruta,1001007.0
21,5000,BMH,1238306.0
22,5000,BMHS,902532.0
23,5000,Shift-And Exato,3240924.0
24,5000,Shift-And Aproximado,11664667.0
